complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Urgent,"The complaint describes tarmac surface melting at 44°C with footwear sticking, creating an unsafe condition for park users.",
AM-202402,Heat Hazard,Urgent,"The metal bus shelter is reaching dangerous temperatures, which constitutes a hazard to commuters.",
AM-202405,Heat Hazard,Urgent,"Dead trees with split branches present a fall risk to walkers, indicating a hazard.",
AM-202406,Heat Hazard,Standard,The complaint describes dying grass during 'heatwave conditions' without irrigation system functionality.,
AM-202407,Road Damage,Urgent,A child was injured last week due to broken bench and upturned paving.,
AM-202410,Pothole,Urgent,"The pothole is causing a morning rush lane closure, which creates a traffic hazard during peak hours.",
AM-202414,Streetlight,Standard,The complaint describes a residential colony that is unlit after 9pm due to wiring theft.,
AM-202417,Waste,Standard,The complaint states that 'Night market waste not cleared before morning' in a 'Heritage area affected'.,
AM-202421,Noise,Standard,"The complaint describes club music being audible at residential buildings at 2am, which constitutes a noise disturbance.",
AM-202424,Heat Hazard,Urgent,"The road surface is bubbling at 45°C, which creates a hazard for visitors.",
AM-202429,Heat Hazard,Urgent,"The complaint describes a river walk surface with an installed temperature reading of 52°C that is unbearable, which constitutes a hazard to public safety.",
AM-202431,Heritage Damage,Standard,The complaint describes 'road subsidence near ancient step well' which raises a 'Heritage concern'.,
AM-202435,Heat Hazard,Urgent,"Black metal road dividers are storing heat and motorists are reporting burns on contact, creating a physical hazard.",
AM-202444,Waste,Urgent,Restaurant waste bins overflowing on Sunday night creates a health risk.,
AM-202445,Heat Hazard,Standard,"The broken roof glass in the BRT shelter leaves users exposed to full sun, creating a heat hazard condition.",
