complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,The complaint describes a 'large pothole 60cm wide causing tyre damage' affecting multiple vehicles.,
PM-202402,Pothole,Urgent,The complaint describes a 'deep pothole' that poses a risk to 'school children' during morning hours.,
PM-202406,Flooding,Urgent,"The underpass is flooded knee-deep, causing commuters to be stranded, which creates a hazard situation.",
PM-202408,Flooding,Urgent,"Bus stand flooded with passengers standing in water, indicating a hazard to public safety.",
PM-202410,Streetlight,Standard,"Three consecutive streetlights out for 10 days, making the area very dark at night.",
PM-202411,Streetlight,Urgent,The complaint describes an electrical hazard with a streetlight that is flickering and sparking.,
PM-202413,Waste,Standard,Overflowing garbage bins near vegetable market with smell affecting shoppers.,
PM-202418,Noise,Standard,The complaint describes a wedding venue playing music past midnight on weeknights.,
PM-202419,Road Damage,Standard,The complaint describes a road surface that is 'cracked and sinking' following utility work.,
PM-202420,Drain Blockage,Urgent,Missing manhole cover presents a risk of serious injury to cyclists.,
PM-202427,Flooding,Urgent,"The bridge approach floods in 30 minutes of rain and becomes inaccessible, creating a hazard that blocks critical infrastructure.",
PM-202428,Waste,Urgent,Dead animal presents a health concern that requires prompt removal.,
PM-202430,Streetlight,Urgent,The complaint mentions 'lights out' and describes a 'Safety concern for pedestrians after dark.',
PM-202433,Waste,Standard,Bulk waste from apartment renovation dumped on public road requires removal.,
PM-202446,Road Damage,Urgent,Elderly resident fell last week due to broken and upturned footpath tiles.,
