complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"The complaint describes an underpass that is flooded after rain with an ambulance diverted and lives at risk, indicating a hazardous situation.",
GH-202402,Flooding,Standard,Market area flooded and drain completely blocked causing traders suffering losses.,
GH-202406,Drain Blockage,Urgent,"The main stormwater drain is completely blocked with construction debris, creating an immediate hazard for flooding and water backup.",
GH-202407,Drain Blockage,Urgent,The complaint describes a 'Drain blocked' situation with 'mosquito breeding' and 'Dengue concern' which poses a health hazard.,
GH-202410,Pothole,Standard,The complaint specifically mentions 'Potholes causing vehicles to slow to 20kmph on fast road' indicating road surface damage affecting traffic flow.,
GH-202411,Pothole,Urgent,Pothole swallowed entire motorcycle wheel and rider was hospitalised.,
GH-202412,Pothole,Urgent,"The complaint mentions a school bus and potholes, and the presence of 'school' triggers urgent priority classification.",
GH-202417,Waste,Standard,The complaint describes 'piles of waste' causing garbage overflow in a heritage zone.,
GH-202420,Noise,Standard,The complaint describes 'construction drilling from 5am daily' creating noise disturbance in a residential area.,
GH-202422,Road Damage,Urgent,The complaint describes a 'Road collapsed partially' with a 'Crater 1m deep' which constitutes a hazard to residents.,
GH-202424,Flooding,Urgent,"The underpass floods in light rain and cars are regularly abandoned, indicating a hazard to vehicle safety and potential danger to motorists.",
GH-202428,Waste,Standard,The complaint states that 'post-market waste not cleared' and the area is 'unusable by Sunday morning'.,
GH-202432,Noise,Standard,"The complaint describes delivery trucks idling with engines on, which constitutes noise pollution from vehicle engines.",
GH-202448,Drain Blockage,Urgent,"The complaint describes a 'main drain blocked' with 'entire locality at flooding risk', indicating an immediate hazard to the area.",
GH-202438,Flooding,Standard,"The complaint describes rainwater being channeled through the main road, indicating water accumulation and drainage issues.",
